juego_id,titulo,plataforma,stock,umbral,precio
JV0050,Mario Kart 8 Deluxe,Xbox,7,8,220.44
JV0051,Diablo IV,Xbox,7,10,149.3
JV0052,Gran Turismo 7,PS4,7,10,238.4
JV0057,Zelda TOTK,PC,7,8,251.0
JV0075,Cyberpunk 2077,Xbox,7,9,126.21
JV0088,Super Mario Wonder,Switch,7,7,198.96
JV0104,Dead Space Remake,PC,7,9,182.7
JV0152,Elden Ring,Xbox,7,10,213.02
JV0153,Mario Kart 8 Deluxe,PS5,7,9,297.39
JV0185,Dead Space Remake,Xbox,7,10,143.35
JV0192,Diablo IV,Xbox,7,7,224.15
JV0194,Diablo IV,PS4,7,7,133.48
JV0198,Super Mario Wonder,Xbox,7,7,186.31
JV0231,Dead Space Remake,Xbox,7,9,285.17
JV0273,Elden Ring,PS4,7,10,194.65
JV0331,Zelda TOTK,PS5,7,10,241.16
JV0344,Final Fantasy XVI,PC,7,9,154.06
JV0366,FIFA 24,PS4,7,10,129.74
JV0391,Call of Duty MW3,Xbox,7,8,298.57
JV0423,Minecraft,PS5,8,9,175.59
JV0446,Resident Evil 4,PS5,8,8,271.66
JV0529,Baldur's Gate 3,PC,8,9,163.29
JV0603,Dead Space Remake,PC,8,10,117.23
JV0620,Diablo IV,Switch,8,10,226.9
JV0644,Dead Space Remake,PS5,8,8,135.54
JV0674,Elden Ring,Xbox,8,9,114.89
JV0678,Super Mario Wonder,PS4,8,10,236.05
JV0693,Baldur's Gate 3,PC,8,9,260.12
JV0714,Final Fantasy XVI,PS4,8,10,234.86
JV0770,Baldur's Gate 3,PS5,8,10,101.55
JV0831,Diablo IV,Xbox,8,9,138.04
JV0842,Mortal Kombat 1,PS5,8,10,199.59
JV0854,FIFA 24,Xbox,8,10,185.42
JV0877,Mortal Kombat 1,PC,8,9,243.06
JV0891,Final Fantasy XVI,Xbox,8,8,254.1
JV0915,Dead Space Remake,Xbox,8,9,148.29
JV0953,Diablo IV,PS4,8,10,166.21
JV0981,Zelda TOTK,Xbox,8,8,179.25
JV0084,Elden Ring,Switch,8,9,121.36
JV0171,Zelda TOTK,PS5,8,9,246.06
JV0246,Mario Kart 8 Deluxe,Xbox,8,8,103.38
JV0265,Spider-Man 2,Xbox,8,10,261.51
JV0284,Gran Turismo 7,PS5,8,9,137.63
JV0304,Minecraft,PS4,8,8,234.08
JV0307,Mortal Kombat 1,Xbox,8,9,228.75
JV0364,God of War Ragnarök,PS5,8,10,114.64
JV0365,FIFA 24,Switch,8,8,216.07
JV0428,Zelda TOTK,PS4,9,10,264.82
JV0505,God of War Ragnarök,Xbox,9,9,179.01
JV0530,Cyberpunk 2077,PS4,9,10,135.21
JV0566,Super Mario Wonder,Xbox,9,9,234.25
JV0624,Elden Ring,PS4,9,10,237.11
JV0674,Elden Ring,PC,9,9,220.76
JV0806,Diablo IV,Switch,9,9,279.41
JV0841,Zelda TOTK,Xbox,9,10,210.57
JV0947,Cyberpunk 2077,PS4,9,9,138.1
JV0157,FIFA 24,Switch,9,10,290.67
JV0304,Minecraft,PC,9,9,132.51
JV0304,Minecraft,Switch,9,9,100.96
JV0359,Diablo IV,PC,9,10,280.15
JV0385,Mario Kart 8 Deluxe,PS5,9,10,163.35
JV0411,Elden Ring,PS4,10,10,262.15
JV0565,Mortal Kombat 1,PS5,10,10,293.78
JV0632,Diablo IV,PS5,10,10,272.49
JV0679,God of War Ragnarök,PS5,10,10,153.86
JV0781,Hogwarts Legacy,PS4,10,10,285.3
JV0823,FIFA 24,PC,10,10,201.52
JV0871,Diablo IV,Xbox,10,10,202.99
JV0952,Hogwarts Legacy,PS4,10,10,143.45
JV0132,Mortal Kombat 1,Xbox,10,10,228.59
JV0193,Gran Turismo 7,PC,10,10,134.84
JV0285,Zelda TOTK,PC,10,10,109.96
